ds,district,cases,RDT Kits,ACT Doses,Bed Nets,Rainfall_mm,Humidity_%,Temperature_C
2022-05-01,Dharmapuri,228,228,159,114,13,69,25
2022-06-01,Dharmapuri,204,204,142,102,30,73,25
2022-07-01,Dharmapuri,242,242,169,121,77,81,20
2022-08-01,Dharmapuri,255,255,178,127,193,81,21
2022-09-01,Dharmapuri,200,200,140,100,113,74,20
2022-10-01,Dharmapuri,151,151,105,75,171,71,21
2022-11-01,Dharmapuri,143,143,100,71,96,64,22
2022-12-01,Dharmapuri,138,138,96,69,46,48,22
2023-01-01,Dharmapuri,80,80,56,40,0,42,24
2023-02-01,Dharmapuri,127,127,88,63,0,40,27
2023-03-01,Dharmapuri,158,158,110,79,0,40,30
2023-04-01,Dharmapuri,200,200,140,100,0,49,28
2023-05-01,Dharmapuri,197,197,137,98,9,60,28
2023-06-01,Dharmapuri,234,234,163,117,66,70,26
2023-07-01,Dharmapuri,257,257,179,128,83,68,25
2023-08-01,Dharmapuri,237,237,165,118,102,76,22
2023-09-01,Dharmapuri,204,204,142,102,139,84,20
2023-10-01,Dharmapuri,164,164,114,82,140,71,21
2023-11-01,Dharmapuri,168,168,117,84,103,62,21
2023-12-01,Dharmapuri,129,129,90,64,52,51,26
2024-01-01,Dharmapuri,131,131,91,65,0,40,27
2024-02-01,Dharmapuri,127,127,88,63,0,51,28
2024-03-01,Dharmapuri,158,158,110,79,0,43,34
2024-04-01,Dharmapuri,172,172,120,86,0,46,28
2024-05-01,Dharmapuri,214,214,149,107,16,61,30
2024-06-01,Dharmapuri,230,230,161,115,43,83,25
2024-07-01,Dharmapuri,225,225,157,112,86,72,24
2024-08-01,Dharmapuri,224,224,156,112,139,79,22
2024-09-01,Dharmapuri,193,193,135,96,128,78,21
2024-10-01,Dharmapuri,186,186,130,93,120,73,20
2024-11-01,Dharmapuri,139,139,97,69,81,66,23
2024-12-01,Dharmapuri,140,140,98,70,74,64,21
